country_code,country,year,slum_pct,urban_pop,slum_population,start_year,end_year,slum_change_total,urban_growth_total,slum_population_change_total
BMU,Bermuda,2002,0.02302,62142.0,14.305088399999999,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2004,0.03269,62555.0,20.449229499999998,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2006,0.1,62834.0,62.834,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2008,0.1,63300.0,63.300000000000004,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2010,0.1,63725.0,63.725,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2012,0.1,63646.0,63.646,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2014,0.1,63529.0,63.529,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2016,0.1,63449.0,63.449,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2018,0.1,63831.0,63.831,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2020,0.1,64382.0,64.382,2000,2022,0.06425,5.19740048740861,42.0286189
BMU,Bermuda,2022,0.07761,64749.0,50.251698899999994,2000,2022,0.06425,5.19740048740861,42.0286189
BTN,Bhutan,2000,57.60128,164684.0,94860.0919552,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2002,56.79227,180848.0,102707.6844496,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2004,55.97413,197059.0,110302.0608367,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2006,55.27324,211748.0,117039.9802352,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2008,54.47522,224874.0,122500.60622280001,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2010,53.69789,237890.0,127741.91052100001,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2012,52.94421,251183.0,132986.8550043,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2014,52.19329,264903.0,138261.5910087,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2016,51.44004,278763.0,143395.7987052,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2018,50.66515,292250.0,148068.90087499996,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2020,50.42596,305607.0,154105.2635772,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BTN,Bhutan,2022,44.6899,319679.0,142864.225421,2000,2022,-12.911380000000001,94.11661120691748,48004.13346580001
BOL,Bolivia,2000,57.94489,5323763.0,3084848.6142107,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BOL,Bolivia,2002,55.68105,5591093.0,3113179.2888765,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BOL,Bolivia,2004,53.41721,5868328.0,3134697.0912487996,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BOL,Bolivia,2006,51.15337,6157023.0,3149524.7561751,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BOL,Bolivia,2008,48.88953,6456728.0,3156663.9725784003,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BOL,Bolivia,2010,46.62568,6761848.0,3152757.6105664,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BOL,Bolivia,2012,46.62568,7072737.0,3297711.7208616002,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BOL,Bolivia,2014,46.62568,7381304.0,3441583.1828672,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BOL,Bolivia,2022,46.62568,8530729.0,3977510.4052072004,2000,2022,-11.319209999999998,60.23870709496272,892661.7909965003
BIH,Bosnia and Herzegovina,2000,5.1,1770149.0,90277.59899999999,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2002,5.1,1809115.0,92264.86499999999,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
